Date,SPY.Adjusted
2007-01-03,113.757523
2007-01-04,113.99894
2007-01-05,113.089668
2007-01-08,113.61264
2007-01-09,113.516121
2007-01-10,113.894279
2007-01-11,114.393211
2007-01-12,115.262291
2007-01-16,115.036957
2007-01-17,115.085243
2007-01-18,114.698997
2007-01-19,114.924278
2007-01-22,114.570213
2007-01-23,114.908173
2007-01-24,115.83358
2007-01-25,114.473648
2007-01-26,114.369057
2007-01-29,114.304688
2007-01-30,114.900101
2007-01-31,115.672653
2007-02-01,116.364677
2007-02-02,116.525558
2007-02-05,116.557785
2007-02-06,116.589973
2007-02-07,116.847504
2007-02-08,116.69458
2007-02-09,115.825539
2007-02-12,115.431229
2007-02-13,116.404884
2007-02-14,117.169365
2007-02-15,117.32225
2007-02-16,117.2659
2007-02-20,117.515388
2007-02-21,117.467026
2007-02-22,117.378578
2007-02-23,116.919876
2007-02-26,116.815262
2007-02-27,112.252739
2007-02-28,113.403435
2007-03-01,113.065468
2007-03-02,111.584892
2007-03-05,110.522713
2007-03-06,112.413712
2007-03-07,112.301018
2007-03-08,113.250603
2007-03-09,113.282745
2007-03-12,113.451714
2007-03-13,111.24691
2007-03-14,112.075737
2007-03-15,112.22863
2007-03-16,111.914352
2007-03-19,113.263504
2007-03-20,113.885529
2007-03-21,115.759796
2007-03-22,115.670952
2007-03-23,115.840599
2007-03-26,115.687103
2007-03-27,115.412483
2007-03-28,114.572235
2007-03-29,114.69339
2007-03-30,114.717674
2007-04-02,114.846924
2007-04-03,116.082954
2007-04-04,116.21225
2007-04-05,116.52729
2007-04-09,116.68882
2007-04-10,116.826195
2007-04-11,116.349571
2007-04-12,116.866592
2007-04-13,117.399811
2007-04-16,118.514648
2007-04-17,118.829704
2007-04-18,118.975166
2007-04-19,118.942863
2007-04-20,120.065742
2007-04-23,119.61338
2007-04-24,119.661827
2007-04-25,120.760506
2007-04-26,120.89785
2007-04-27,120.800926
2007-04-30,119.799171
2007-05-01,120.106155
2007-05-02,120.808998
2007-05-03,121.463348
2007-05-04,121.923866
2007-05-07,121.948112
2007-05-08,121.78656
2007-05-09,122.117767
2007-05-10,120.841377
2007-05-11,121.875397
2007-05-14,121.608788
2007-05-15,121.641174
2007-05-16,122.473244
2007-05-17,122.230865
2007-05-18,123.297256
2007-05-21,123.232651
2007-05-22,123.135696
2007-05-23,123.151817
2007-05-24,122.036972
2007-05-25,122.545937
2007-05-29,122.990273
2007-05-30,123.992065
2007-05-31,123.862801
2007-06-01,124.4767
2007-06-04,124.492912
2007-06-05,124.000061
2007-06-06,122.667114
2007-06-07,120.453568
2007-06-08,122.020828
2007-06-11,122.230865
2007-06-12,120.89785
2007-06-13,122.70752
2007-06-14,123.491074
2007-06-15,124.193764
2007-06-18,124.047798
2007-06-19,124.356026
2007-06-20,122.627869
2007-06-21,123.309395
2007-06-22,122.149208
2007-06-25,121.565002
2007-06-26,120.315498
2007-06-27,122.027473
2007-06-28,122.011261
2007-06-29,122.051788
2007-07-02,123.15522
2007-07-03,123.601509
2007-07-05,123.471703
2007-07-06,124.120781
2007-07-09,124.218132
2007-07-10,122.449387
2007-07-11,123.317535
2007-07-12,125.264778
2007-07-13,125.638
2007-07-16,125.621803
2007-07-17,125.556839
2007-07-18,125.329712
2007-07-19,125.81649
2007-07-20,124.542656
2007-07-23,124.924004
2007-07-24,122.757706
2007-07-25,123.009193
2007-07-26,120.096474
2007-07-27,117.735382
2007-07-30,119.577179
2007-07-31,118.230331
2007-08-01,118.806396
2007-08-02,119.755676
2007-08-03,116.672539
2007-08-06,118.627914
2007-08-07,119.893616
2007-08-08,121.565002
2007-08-09,117.962601
2007-08-10,117.410881
2007-08-13,117.832764
2007-08-14,116.03154
2007-08-15,114.433212
2007-08-16,115.293198
2007-08-17,117.410881
2007-08-20,117.354103
2007-08-21,117.589371
2007-08-22,118.984917
2007-08-23,118.879463
2007-08-24,120.348
2007-08-27,119.22831
2007-08-28,116.607643
2007-08-29,118.89566
2007-08-30,118.579201
2007-08-31,119.747528
2007-09-04,120.956482
2007-09-05,119.909813
2007-09-06,120.185715
2007-09-07,118.514305
2007-09-10,118.287109
2007-09-11,119.666435
2007-09-12,119.974731
2007-09-13,120.818535
